PLAYER FULL NAME,"OWN
TEAM",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
luol deng,chicago,29.3,2,8,0,5,0,0,1,4,5,4,4,2,3,0,4
carlos boozer,chicago,32.2,13,18,0,0,5,5,3,4,7,2,4,1,2,1,31
joakim noah,chicago,20.1,1,4,0,0,0,2,2,9,11,2,2,2,2,2,2
jimmy butler,chicago,29.6,6,12,2,4,6,7,0,3,3,3,4,5,2,1,20
Derrick Rose,chicago,34.2,4,15,1,7,3,4,0,1,1,4,2,0,5,0,12
Mike Dunleavy,chicago,22.6,3,9,2,4,2,2,0,3,3,1,1,0,1,0,10
Taj Gibson,chicago,29.2,4,8,0,0,2,3,4,4,8,3,1,0,0,0,10
Kirk Hinrich,chicago,29.3,2,6,2,4,0,0,0,1,1,3,6,0,2,0,6
Nazr Mohammed,chicago,5.2,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0
Tony Snell,chicago,6.4,0,3,0,2,0,0,0,0,0,0,2,1,1,0,0
LeBron James,miami,38,5,11,0,1,7,9,0,6,6,8,0,1,2,0,17
Udonis Haslem,miami,21.3,2,4,0,0,2,2,1,2,3,0,3,0,3,0,6
Chris Bosh,miami,31.2,6,11,1,2,3,4,1,5,6,0,3,0,1,3,16
Dwyane Wade,miami,36.1,5,13,1,1,2,5,0,4,4,3,4,1,3,1,13
Mario Chalmers,miami,26.5,3,8,1,3,6,7,2,1,3,4,2,5,3,0,13
Ray Allen,miami,26.2,3,7,3,6,2,2,0,1,1,7,4,0,3,1,11
Shane Battier,miami,22.1,5,6,4,4,0,0,0,2,2,1,3,0,0,0,14
Norris Cole,miami,21.1,5,7,1,3,0,0,0,7,7,3,0,1,3,0,11
Chris Andersen,miami,16.3,3,5,0,0,0,0,1,7,8,0,2,2,0,2,6
Jared Dudley,los angeles clippers,22.4,2,6,1,4,0,0,0,3,3,2,4,0,1,0,5
Blake Griffin,los angeles clippers,40.1,8,15,0,0,3,10,2,5,7,3,1,1,4,0,19
DeAndre Jordan,los angeles clippers,35.3,8,10,0,0,1,2,4,7,11,1,5,3,1,3,17
J.J. Redick,los angeles clippers,33.5,5,12,2,5,1,1,1,1,2,3,0,0,1,0,13
Chris Paul,los angeles clippers,35.6,5,13,0,2,5,5,0,6,6,11,4,5,1,0,15
Matt Barnes,los angeles clippers,28.3,3,6,1,3,1,1,2,4,6,3,4,2,3,0,8
Jamal Crawford,los angeles clippers,25.5,5,13,3,6,2,2,1,2,3,3,0,0,3,0,15
Darren Collison,los angeles clippers,12.3,4,5,1,1,0,0,0,1,1,1,2,0,2,0,9
Ryan Hollins,los angeles clippers,3.6,0,2,0,0,0,2,0,1,1,0,1,0,0,1,0
Reggie Bullock,los angeles clippers,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Nick Young,los angeles lakers,22,3,10,1,4,6,8,0,1,1,0,1,1,2,0,13
Shawne Williams,los angeles lakers,12.5,1,5,0,3,1,2,1,2,3,0,3,1,1,2,3
Pau Gasol,los angeles lakers,24.3,5,12,1,2,4,4,1,12,13,4,0,0,5,0,15
Steve Blake,los angeles lakers,22.3,2,3,2,2,0,0,1,1,2,1,1,1,0,0,6
Steve Nash,los angeles lakers,20.4,1,3,1,1,0,0,0,1,1,5,3,0,3,0,3
Chris Kaman,los angeles lakers,19.4,5,10,0,0,0,0,4,4,8,0,1,1,1,2,10
Jodie Meeks,los angeles lakers,25.4,4,8,3,6,2,2,0,3,3,2,2,1,2,0,13
Jordan Farmar,los angeles lakers,27.2,6,10,2,3,2,4,2,2,4,6,5,1,3,0,16
Xavier Henry,los angeles lakers,26.2,8,13,3,4,3,8,2,4,6,2,1,1,1,0,22
Wesley Johnson,los angeles lakers,20.3,1,11,1,4,0,0,0,3,3,1,4,0,0,1,3
Jordan Hill,los angeles lakers,18,6,8,0,0,0,0,7,1,8,2,2,1,1,1,12
Paul Pierce,brooklyn,29.5,5,8,3,4,4,4,0,4,4,2,2,0,1,0,17
Kevin Garnett,brooklyn,26.2,4,8,0,0,0,0,2,8,10,3,4,2,2,1,8
Brook Lopez,brooklyn,33.4,9,18,0,0,3,5,2,3,5,1,3,0,1,4,21
Joe Johnson,brooklyn,34.2,3,10,0,3,7,8,0,0,0,5,1,1,1,0,13
Deron Williams,brooklyn,21.4,2,6,1,2,2,2,0,3,3,9,3,0,4,1,7
Andray Blatche,brooklyn,20.2,0,5,0,0,0,0,0,3,3,0,2,1,3,1,0
Reggie Evans,brooklyn,15.5,1,5,0,0,2,3,4,4,8,0,3,0,1,1,4
Alan Anderson,brooklyn,23.3,4,11,1,6,0,0,0,3,3,0,3,1,1,0,9
Shaun Livingston,brooklyn,15.3,0,1,0,0,1,2,1,0,1,3,3,2,0,0,1
Jason Terry,brooklyn,19,5,10,4,9,0,0,0,0,0,1,3,1,1,0,14
Earl Clark,cleveland,27.1,4,10,0,1,1,2,3,5,8,1,2,0,1,0,9
Tristan Thompson,cleveland,34.5,8,13,0,0,2,4,3,6,9,0,2,0,1,0,18
Anderson Varejao,cleveland,34.4,5,9,0,0,1,4,3,5,8,3,3,0,0,1,11
Dion Waiters,cleveland,29.2,5,12,1,3,0,0,1,0,1,2,2,3,2,0,11
Kyrie Irving,cleveland,30.6,4,16,0,2,7,9,0,7,7,9,4,2,2,0,15
Jarrett Jack,cleveland,22.3,3,6,1,1,5,6,0,3,3,3,1,1,1,0,12
Alonzo Gee,cleveland,18.5,1,2,1,1,4,4,3,1,4,1,2,1,0,0,7
Anthony Bennett,cleveland,14.6,0,5,0,3,2,4,1,4,5,0,1,0,0,0,2
Andrew Bynum,cleveland,7.3,1,5,0,0,1,1,2,1,3,2,1,0,1,2,3
C.J. Miles,cleveland,15.2,4,6,2,4,0,0,0,0,0,0,1,0,2,0,10
Tyler Zeller,cleveland,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Evan Turner,philadelphia,37.1,10,19,0,4,6,6,0,4,4,5,3,1,3,0,26
Thaddeus Young,philadelphia,34.2,5,15,0,1,0,0,4,2,6,2,2,2,5,0,10
Spencer Hawes,philadelphia,29.2,10,14,1,2,3,4,3,6,9,2,4,0,2,0,24
James Anderson,philadelphia,35.2,3,8,2,5,0,0,0,6,6,1,3,2,3,0,8
Michael Carter-Williams,philadelphia,36.1,6,10,4,6,6,8,0,7,7,12,1,9,1,0,22
Tony Wroten,philadelphia,23.2,6,9,1,3,1,2,1,3,4,2,1,1,2,0,14
Lavoy Allen,philadelphia,17.3,1,3,0,0,2,2,0,3,3,0,2,0,0,0,4
Daniel Orton,philadelphia,14.5,1,1,0,0,2,2,0,1,1,0,4,1,1,1,4
Darius Morris,philadelphia,11.5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2
Gerald Wallace,boston,39.5,1,1,0,0,1,4,0,3,3,2,2,4,5,0,3
Brandon Bass,boston,32.1,6,7,0,0,5,5,1,1,2,2,2,2,1,0,17
Vitor Faverani,boston,26.4,4,9,0,1,5,8,1,2,3,0,5,0,3,3,13
Jeff Green,boston,37,8,16,2,3,7,9,0,5,5,2,4,1,1,1,25
Avery Bradley,boston,31.2,4,13,0,3,0,0,1,4,5,4,6,2,4,1,8
Jordan Crawford,boston,17.4,3,5,1,1,0,0,2,1,3,5,2,0,1,0,7
Kelly Olynyk,boston,16.2,2,5,0,2,0,0,0,0,0,0,2,0,3,0,4
Kris Humphries,boston,20.5,3,4,0,0,2,3,2,7,9,0,2,0,2,2,8
Courtney Lee,boston,14.3,1,4,0,2,0,0,0,2,2,0,0,1,2,0,2
Phil Pressey,boston,3.4,0,2,0,1,0,0,0,1,1,0,2,0,0,0,0
Rudy Gay,toronto,34.1,8,18,1,2,2,3,2,6,8,1,3,2,5,0,19
Amir Johnson,toronto,24.2,6,8,1,3,0,0,2,1,3,2,4,0,0,1,13
Jonas Valanciunas,toronto,31.2,4,9,0,0,0,0,5,6,11,0,4,1,3,2,8
DeMar DeRozan,toronto,40.2,6,19,1,3,0,2,0,2,2,2,3,2,5,0,13
Kyle Lowry,toronto,34.5,2,8,0,3,7,12,2,1,3,8,2,2,2,0,11
Tyler Hansbrough,toronto,24.4,3,4,0,0,1,2,5,7,12,0,1,0,0,3,7
Landry Fields,toronto,18.1,4,7,0,0,0,1,3,3,6,0,4,0,0,0,8
Steve Novak,toronto,6.4,1,3,1,2,0,0,0,1,1,0,1,0,0,0,3
D.J. Augustin,toronto,13.2,2,7,0,3,1,1,0,0,0,2,1,0,1,0,5
Terrence Ross,toronto,12.1,2,3,1,1,1,2,0,2,2,0,2,2,1,0,6
Trevor Ariza,washington,37.4,8,14,6,11,6,8,1,9,10,3,4,1,2,0,28
Trevor Booker,washington,20.2,1,3,0,0,0,0,4,1,5,3,3,0,1,0,2
Nene Hilario,washington,30.2,4,6,0,0,4,7,1,2,3,1,4,1,0,1,12
Bradley Beal,washington,38.2,6,18,2,6,3,3,1,3,4,2,3,0,3,0,17
John Wall,washington,38.6,8,21,0,4,4,6,2,0,2,11,3,3,4,0,20
Marcin Gortat,washington,16.5,3,6,0,0,3,4,4,5,9,0,5,0,3,1,9
Al Harrington,washington,18.2,1,4,0,1,2,2,0,0,0,1,4,0,2,0,4
Eric Maynor,washington,9,1,3,1,1,0,0,0,2,2,1,0,0,0,0,3
Martell Webster,washington,20.6,1,1,1,1,2,2,0,2,2,0,2,0,0,0,5
Garrett Temple,washington,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
Kevin Seraphin,washington,4.2,1,1,0,0,0,0,0,1,1,0,1,0,1,0,2
Josh Smith,detroit,39.4,8,12,3,7,0,0,1,4,5,5,5,0,4,1,19
Greg Monroe,detroit,41.3,6,15,0,0,12,15,5,11,16,3,3,1,5,1,24
Andre Drummond,detroit,26.2,6,7,0,0,0,0,3,5,8,1,5,0,1,0,12
Chauncey Billups,detroit,30.4,4,8,4,5,4,4,1,2,3,5,3,1,1,0,16
Will Bynum,detroit,38.1,7,13,1,2,4,6,0,1,1,5,4,2,4,1,19
Kentavious Caldwell-Pope,detroit,27,4,12,0,3,1,2,0,1,1,2,4,2,2,0,9
Kyle Singler,detroit,27.2,2,6,1,5,3,3,2,6,8,1,2,0,0,0,8
Jonas Jerebko,detroit,8.3,2,5,0,2,2,3,0,1,1,2,1,0,1,1,6
Peyton Siva,detroit,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Mitchell,detroit,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Luigi Datome,detroit,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caron Butler,milwaukee,33.3,5,9,2,3,2,2,1,3,4,1,4,1,7,0,14
Khris Middleton,milwaukee,19.2,1,4,0,1,0,0,0,0,0,1,3,0,3,0,2
Larry Sanders,milwaukee,12.2,0,3,0,0,0,0,1,3,4,0,5,0,2,1,0
Brandon Knight,milwaukee,1.5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
O.J. Mayo,milwaukee,35.6,6,12,0,3,1,1,0,5,5,3,1,1,2,0,13
Nate Wolters,milwaukee,29.4,3,12,1,4,2,2,1,0,1,4,2,1,2,1,9
Ersan Ilyasova,milwaukee,19.4,5,6,0,0,0,0,0,2,2,1,1,3,2,0,10
Gary Neal,milwaukee,31.5,6,16,2,5,2,2,0,2,2,5,0,0,0,0,16
Zaza Pachulia,milwaukee,33.5,6,10,0,0,1,1,2,9,11,3,4,2,2,0,13
Giannis Antetokounmpo,milwaukee,4.4,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1
John Henson,milwaukee,17.3,2,2,0,0,1,2,0,1,1,1,0,2,1,2,5
Carmelo Anthony,new york,37.4,7,16,0,2,5,6,2,8,10,1,2,1,3,0,19
Iman Shumpert,new york,33.1,5,13,1,5,5,5,0,4,4,1,2,0,1,1,16
Tyson Chandler,new york,31.5,5,7,0,0,0,0,2,4,6,1,3,3,5,5,10
Raymond Felton,new york,34.2,7,12,0,1,4,4,1,0,1,3,2,3,3,0,18
Pablo Prigioni,new york,37.3,3,3,1,1,0,0,0,3,3,5,1,3,4,0,7
Metta World Peace,new york,17.6,2,4,0,0,0,0,0,4,4,0,0,1,1,0,4
Andrea Bargnani,new york,17.1,3,9,0,3,0,0,0,2,2,1,2,1,3,0,6
Beno Udrih,new york,10.3,1,4,0,0,0,0,0,1,1,2,2,0,2,0,2
Tim Hardaway,new york,15.1,2,2,1,1,0,0,0,0,0,2,2,0,0,0,5
Kenyon Martin,new york,4.6,1,1,0,0,1,2,1,2,3,1,0,0,0,0,3
Michael Kidd-Gilchrist,charlotte,30.4,3,7,0,0,1,5,1,7,8,2,4,1,0,1,7
Josh McRoberts,charlotte,29.5,5,9,3,4,2,2,1,3,4,3,3,1,1,1,15
Al Jefferson,charlotte,30.2,6,19,0,0,1,2,4,4,8,1,2,0,0,2,13
Gerald Henderson,charlotte,31.4,5,16,0,2,1,1,0,2,2,2,2,0,0,0,11
Kemba Walker,charlotte,34.4,5,10,0,1,2,2,1,1,2,5,3,4,3,0,12
Cody Zeller,charlotte,15.3,1,6,0,0,0,0,3,1,4,0,2,0,1,1,2
Bismack Biyombo,charlotte,16.4,2,4,0,0,0,0,1,4,5,0,2,0,0,0,4
Jeff Taylor,charlotte,27.5,1,6,0,2,3,4,0,2,2,0,0,1,0,1,5
Ramon Sessions,charlotte,19.2,5,11,1,1,3,4,1,1,2,1,2,1,2,0,14
Jeff Adrien,charlotte,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Tolliver,charlotte,2.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Chandler Parsons,houston,39.3,4,11,0,3,2,4,0,5,5,3,2,1,0,1,10
Dwight Howard,houston,34.4,8,14,0,0,1,4,6,20,26,2,3,0,4,2,17
Omer Asik,houston,26.1,1,5,0,0,2,4,5,9,14,0,1,1,1,2,4
James Harden,houston,36.5,7,16,1,6,6,6,1,2,3,5,1,1,5,0,21
Patrick Beverley,houston,10.2,2,4,1,3,0,0,1,0,1,1,0,0,2,0,5
Omri Casspi,houston,20.2,2,6,0,2,0,0,1,3,4,2,2,0,1,1,4
Jeremy Lin,houston,30.6,5,7,2,2,4,6,0,0,0,2,2,0,2,0,16
Francisco Garcia,houston,30,7,13,5,9,0,0,0,1,1,1,2,0,1,0,19
Aaron Brooks,houston,11.1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0
Corey Brewer,minnesota,39.4,7,11,1,4,1,3,1,2,3,2,2,3,3,0,16
Kevin Love,minnesota,40.4,8,19,3,8,12,16,4,13,17,4,3,0,1,0,31
Nikola Pekovic,minnesota,29.4,5,11,0,0,1,1,1,6,7,0,3,0,2,0,11
Kevin Martin,minnesota,43.2,6,19,2,7,9,9,0,2,2,3,1,0,1,0,23
Ricky Rubio,minnesota,40.1,5,15,1,3,2,2,2,4,6,11,3,3,4,1,13
Ronny Turiaf,minnesota,15.3,1,4,0,0,1,1,1,2,3,1,3,1,0,1,3
Jose Barea,minnesota,20,4,9,1,2,2,2,1,1,2,4,2,0,1,0,11
Alexey Shved,minnesota,15.5,1,5,0,1,0,0,1,2,3,2,0,0,2,0,2
Dante Cunningham,minnesota,20.1,5,7,0,0,0,0,3,3,6,0,2,0,0,1,10
Al-Farouq Aminu,new orleans,23.1,0,2,0,1,1,2,0,4,4,2,5,2,1,0,1
Anthony Davis,new orleans,37.4,8,20,0,0,4,4,7,5,12,0,4,1,4,3,20
Jason Smith,new orleans,20.3,4,6,0,0,0,0,1,1,2,1,6,0,0,1,8
Eric Gordon,new orleans,33.3,8,19,3,5,6,9,1,2,3,1,0,2,1,0,25
Jrue Holiday,new orleans,36.1,8,18,2,4,6,6,0,7,7,5,3,1,2,0,24
Tyreke Evans,new orleans,22.4,2,8,0,0,0,0,0,2,2,3,2,0,3,0,4
Greg Stiemsma,new orleans,14.6,1,2,0,0,0,0,4,1,5,0,4,1,2,1,2
Anthony Morrow,new orleans,14,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2
Brian Roberts,new orleans,14.4,1,2,0,0,0,0,0,1,1,2,1,0,0,0,2
Lance Thomas,new orleans,7.1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0
Arinze Onuaku,new orleans,15.3,1,3,0,0,0,0,1,4,5,3,3,0,1,0,2
DeMarre Carroll,atlanta,34.3,3,7,2,4,6,8,1,6,7,1,1,3,2,0,14
Paul Millsap,atlanta,35.5,9,15,0,2,2,4,2,3,5,3,4,1,2,1,20
Al Horford,atlanta,31.6,5,12,0,0,1,2,1,4,5,3,1,5,3,4,11
Kyle Korver,atlanta,35.4,3,9,1,4,1,1,0,5,5,3,1,2,0,0,8
Jeff Teague,atlanta,34.2,7,13,1,4,9,12,0,2,2,9,3,4,6,0,24
Mike Scott,atlanta,7.2,0,1,0,0,0,0,0,1,1,0,4,0,2,0,0
Dennis Schroeder,atlanta,18.3,2,5,1,2,0,0,0,4,4,5,3,0,2,0,5
Elton Brand,atlanta,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8
Cartier Martin,atlanta,16.5,4,8,3,7,6,6,1,1,2,1,3,1,0,0,17
Pero Antic,atlanta,7.5,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0
Shelvin Mack,atlanta,4.2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2
Shawn Marion,dallas,30.4,6,9,0,1,0,2,0,8,8,1,2,2,2,1,12
Dirk Nowitzki,dallas,33,8,14,4,6,4,4,0,4,4,5,4,0,1,0,24
Samuel Dalembert,dallas,26.5,2,4,0,0,0,0,1,8,9,0,1,0,1,1,4
Monta Ellis,dallas,36.5,11,17,2,3,8,8,0,4,4,8,3,2,7,0,32
Jose Calderon,dallas,34.4,1,7,1,5,2,2,0,2,2,11,3,1,4,0,5
Vince Carter,dallas,25.2,9,16,2,5,1,2,0,4,4,2,3,1,2,0,21
DeJuan Blair,dallas,21.1,4,5,0,0,1,2,5,0,5,0,3,0,1,0,9
Wayne Ellington,dallas,13.4,2,4,1,3,1,2,1,2,3,0,1,1,0,0,6
Gal Mekel,dallas,8.5,0,0,0,0,2,2,0,2,2,3,1,0,2,0,2
Jae Crowder,dallas,9,1,1,1,1,0,0,0,1,1,1,1,0,0,0,3
Tayshaun Prince,memphis,19.5,4,11,1,2,0,0,0,2,2,1,1,0,0,0,9
Zach Randolph,memphis,25.4,1,6,0,0,0,0,2,5,7,1,1,0,1,1,2
Marc Gasol,memphis,34,7,15,0,0,0,0,1,8,9,2,1,1,2,0,14
Tony Allen,memphis,28.1,6,8,3,3,0,3,1,2,3,2,0,2,3,1,15
Mike Conley,memphis,27.1,7,17,0,3,0,0,0,2,2,7,5,2,3,0,14
Mike Miller,memphis,24.5,3,6,2,3,3,3,0,4,4,3,2,0,1,0,11
Jerryd Bayless,memphis,22,2,9,0,0,1,2,2,2,4,3,2,0,1,0,5
Ed Davis,memphis,7.5,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0
Quincy Pondexter,memphis,21.5,4,9,2,4,3,3,2,0,2,3,0,1,1,1,13
Kosta Koufos,memphis,13.6,3,4,0,0,1,4,1,2,3,0,2,0,0,0,7
Nick Calathes,memphis,4.5,1,3,0,0,0,0,1,1,2,2,0,0,1,0,2
Jon Leuer,memphis,9.5,1,3,0,0,0,0,0,3,3,0,1,0,1,0,2
Kawhi Leonard,san antonio,30.2,5,9,2,2,2,2,1,6,7,1,2,0,4,2,14
Tim Duncan,san antonio,17.2,1,6,0,0,1,3,0,6,6,2,2,0,0,0,3
Tiago Splitter,san antonio,28.3,5,8,0,0,1,2,2,6,8,2,2,0,0,0,11
Danny Green,san antonio,22.4,3,7,1,3,0,0,0,1,1,1,0,0,4,2,7
Tony Parker,san antonio,31.2,4,14,2,3,3,4,0,1,1,9,0,1,1,0,13
Manu Ginobili,san antonio,24.1,6,9,0,1,0,0,0,4,4,5,2,2,1,0,12
Matt Bonner,san antonio,16.3,3,4,2,3,0,0,0,2,2,0,2,0,1,0,8
Marco Belinelli,san antonio,18.6,2,5,0,2,1,2,0,4,4,1,1,0,1,0,5
Patrick Mills,san antonio,16.4,4,4,3,3,1,1,1,0,1,1,0,0,0,0,12
Jeff Ayres,san antonio,11.2,1,1,0,0,0,0,0,2,2,2,4,0,2,1,2
Boris Diaw,san antonio,20.2,6,9,1,3,1,2,0,4,4,1,2,0,0,1,14
Aron Baynes,san antonio,1.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Kevin Durant,oklahoma city,39.1,9,24,2,8,22,24,0,6,6,1,1,3,5,0,42
Serge Ibaka,oklahoma city,37.3,4,15,0,0,0,0,4,6,10,0,3,1,1,2,8
Kendrick Perkins,oklahoma city,26.5,2,5,0,1,0,0,2,6,8,1,4,1,1,0,4
Thabo Sefolosha,oklahoma city,31.3,6,11,2,5,0,0,0,4,4,1,2,2,1,0,14
Reggie Jackson,oklahoma city,32.1,5,10,2,3,2,2,0,2,2,3,2,5,3,0,14
Nick Collison,oklahoma city,12.6,2,4,0,0,2,2,1,3,4,0,5,1,1,1,6
Derek Fisher,oklahoma city,16.5,1,3,0,1,2,2,0,3,3,2,1,1,0,0,4
Jeremy Lamb,oklahoma city,17.3,2,6,0,1,0,0,1,2,3,0,2,1,0,0,4
Steven Adams,oklahoma city,18.3,1,1,0,0,0,1,2,1,3,1,3,0,0,0,2
Perry Jones,oklahoma city,7.1,1,2,0,0,1,2,0,2,2,0,1,0,1,1,3
Richard Jefferson,utah,19.4,4,9,2,5,0,1,0,3,3,0,3,0,2,2,10
Derrick Favors,utah,42.5,6,11,0,0,3,7,1,8,9,5,5,1,6,2,15
Enes Kanter,utah,29,6,10,0,0,2,2,3,7,10,1,2,0,2,1,14
Gordon Hayward,utah,27.4,4,13,2,6,2,4,1,3,4,5,4,3,4,0,12
John Lucas,utah,36.3,2,7,2,5,2,2,0,1,1,5,2,0,1,0,8
Rudy Gobert,utah,22.5,1,2,0,0,0,2,3,4,7,0,2,0,2,0,2
Alec Burks,utah,31.3,8,16,0,3,8,9,1,5,6,6,3,0,3,0,24
Jamaal Tinsley,utah,8.1,0,3,0,3,0,0,0,0,0,3,1,0,1,0,0
Mike Harris,utah,21.5,5,8,0,0,3,3,1,3,4,0,6,2,1,0,13
Nicolas Batum,utah,36.4,3,9,1,5,0,0,2,11,13,4,2,1,4,1,7
LaMarcus Aldridge,portland,39.3,12,22,0,0,4,5,1,3,4,2,2,0,2,0,28
Robin Lopez,portland,33.3,1,4,0,0,1,4,1,1,2,2,3,2,1,2,3
Wesley Matthews,portland,33.1,3,9,1,4,2,2,2,5,7,4,1,0,1,0,9
Damian Lillard,portland,42.1,10,20,6,12,6,8,2,2,4,2,2,1,0,1,32
Joel Freeland,portland,12.1,1,3,0,0,1,2,3,1,4,1,2,0,1,0,3
Mo Williams,portland,21.5,1,9,0,4,0,0,0,2,2,3,2,1,3,1,2
Dorell Wright,portland,12.2,0,2,0,1,3,3,0,1,1,1,0,0,1,0,3
Thomas Robinson,portland,8.3,2,3,0,0,0,0,0,2,2,0,0,0,0,0,4
P.J. Tucker,phoenix,38.4,7,13,2,2,2,2,4,1,5,2,1,2,1,0,18
Channing Frye,phoenix,22.2,3,7,1,5,0,0,0,3,3,0,4,1,1,0,7
Miles Plumlee,phoenix,39.6,8,14,0,0,2,2,5,10,15,0,1,0,2,3,18
Goran Dragic,phoenix,41.1,12,21,1,4,1,1,0,6,6,9,4,1,3,0,26
Eric Bledsoe,phoenix,38.5,7,12,0,3,8,11,0,7,7,6,2,1,4,0,22
Marcus Morris,phoenix,25.4,3,9,0,4,0,0,0,7,7,1,2,3,3,1,6
Gerald Green,phoenix,16.6,2,3,0,1,1,2,0,1,1,0,0,0,0,0,5
Alex Len,phoenix,8,1,1,0,0,0,0,1,1,2,0,3,0,1,1,2
Archie Goodwin,phoenix,8.3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
Anthony Randolph,denver,15.1,1,2,0,1,0,0,0,2,2,0,1,0,2,1,2
J.J. Hickson,denver,33,6,10,0,0,0,0,2,7,9,0,3,0,3,4,12
JaVale McGee,denver,10.1,2,5,0,0,0,0,1,0,1,0,4,0,1,2,4
Randy Foye,denver,32.4,4,8,2,5,2,3,0,5,5,1,2,1,3,0,12
Ty Lawson,denver,35.5,5,15,2,4,8,8,0,5,5,8,1,2,4,0,20
Timofey Mozgov,denver,19.3,4,6,0,0,2,2,0,2,2,0,2,0,1,3,10
Evan Fournier,denver,21.1,2,8,1,3,0,0,2,3,5,2,2,0,2,0,5
Kenneth Faried,denver,14.6,1,4,0,1,3,4,2,3,5,0,1,0,0,0,5
Andre Miller,denver,21.2,6,9,0,0,0,0,0,3,3,3,0,0,1,0,12
Darrell Arthur,denver,18.2,3,7,0,0,0,0,1,1,2,1,4,0,1,1,6
Nate Robinson,denver,17.5,0,5,0,1,0,0,0,2,2,4,1,0,0,0,0
John Salmons,sacramento,26.4,3,9,1,3,2,2,0,4,4,2,1,2,0,0,9
Patrick Patterson,sacramento,26.4,1,6,1,3,0,0,1,5,6,0,5,3,0,0,3
DeMarcus Cousins,sacramento,39.1,13,26,0,0,4,7,5,9,14,1,4,2,4,2,30
Marcus Thornton,sacramento,31,1,6,0,3,2,3,0,2,2,1,3,0,0,0,4
Greivis Vasquez,sacramento,36.2,6,9,1,2,4,5,0,2,2,4,2,0,2,0,17
Ben McLemore,sacramento,16.6,1,7,1,5,1,2,0,1,1,0,1,0,1,1,4
Jason Thompson,sacramento,16.3,1,5,0,0,0,0,1,2,3,0,5,0,2,2,2
Isaiah Thomas,sacramento,29.2,5,9,3,4,3,4,1,3,4,5,3,0,2,0,16
Travis Outlaw,sacramento,6.3,2,4,1,1,0,0,1,0,1,0,2,0,1,1,5
